i_ind,treat,day,rep,string,i_treatday,ncell,V_oc_max,V_oc_last,V_ns_max,V_ns_last,V_ns_diff,min_pos,V_min_oc,V_min_ns,V_min_diff,eq_pos,V_eq,inc_o,inc_n
56.0,caged,10.0,3.0,3.0,3.0,9.0,345.8651208496558,345.8651208496558,181.14399264572054,181.14399264572054,0.0,2.0,66.60582374194865,117.81198748420026,-51.206163742251604,0.7715129002043788,167.02995939700367,7.596807916119069,5.477625216254051
57.0,caged,10.0,3.0,4.0,3.0,9.0,232.75785423365264,232.75785423365264,217.11815509323313,217.11815509323313,0.0,1.0,119.44781908314036,166.50772203478442,-47.05990295164406,0.24943857087729682,204.4939609996526,6.475173978337445,4.515914062665731
58.0,caged,10.0,4.0,1.0,3.0,11.0,399.44501384498074,399.44501384498074,230.58060225386626,139.5811485819808,90.99945367188545,2.0,106.34904875093723,187.30132870213188,-80.95227995119465,10.0,47.71193775696321,10.0,10.0
59.0,caged,10.0,4.0,2.0,3.0,12.0,387.6717697361082,387.6717697361082,188.41319836863107,169.49399075992613,18.919207608704937,2.0,88.60620650522237,147.23067990455948,-58.624473399337106,0.8326442349492598,185.24695990512248,9.912723641216752,5.88092008377956
60.0,caged,10.0,4.0,3.0,3.0,12.0,288.0675038567964,288.0675038567964,211.1892645652923,142.00287172063642,69.18639284465587,2.0,90.21043123413543,161.0840547985033,-70.87362356436788,0.7321907650352306,192.660509627593,10.31351370282948,6.763181245350959
61.0,caged,10.0,4.0,4.0,3.0,11.0,263.0878474698659,263.0878474698659,194.96053862263662,40.01252788109001,154.94801074154663,2.0,117.0416130849509,194.96053862263662,-77.91892553768572,1.3759111049860524,176.8086548031323,8.763291337312731,6.9175950032354665
62.0,caged,10.0,4.0,5.0,3.0,15.0,384.34384316581884,384.34384316581884,225.32482286461476,38.246960470088396,187.07786239452636,3.0,70.26348391201257,144.45791710594258,-74.19443319393001,1.1191716656066986,219.8425359561115,14.0,8.397857293082778
63.0,banked,10.0,1.0,1.0,4.0,16.0,466.56476988354893,466.56476988354893,216.31049947922327,116.46036609642888,99.85013338279438,5.0,66.74306966024113,112.208961378486,-45.46589171824486,1.9855149492727637,189.56314603584042,14.038675985468373,9.340434154331072
64.0,banked,10.0,1.0,2.0,4.0,17.0,458.3696643891775,458.3696643891775,219.41366212050818,150.92827891823882,68.48538320226936,3.0,127.72798088421828,173.20644794856867,-45.47846706435038,1.8338038317655756,202.07568153775645,15.039742653357697,11.04967075035498
65.0,banked,10.0,2.0,1.0,4.0,16.0,505.8914423271174,505.8914423271174,215.85162607726738,58.811451039727444,157.04017503753994,4.0,85.21488584400859,140.43343110627512,-55.21854526226653,1.8694853613591285,197.83909802402746,10.576708837841297,9.079822209946952
66.0,banked,10.0,2.0,2.0,4.0,6.0,423.83666133304547,423.83666133304547,234.8901702410882,25.546144053548723,209.3440261875395,3.0,128.32297461027719,187.73207820983023,-59.40910359955305,1.7865789474661702,216.80108706422894,3.9418158024135184,5.0
67.0,banked,10.0,3.0,1.0,4.0,9.0,581.5245744057551,581.5245744057551,245.72848372735442,51.30798247400656,194.42050125334785,4.0,71.37459871865059,135.36337026516645,-63.98877154651586,1.6647418430429708,214.27551707493708,7.64495535480002,6.764260167529173
68.0,banked,10.0,3.0,2.0,4.0,11.0,541.1030171487457,541.1030171487457,239.96917819612096,59.28154350387053,180.68763469225044,3.0,93.83733359355645,151.17902708855235,-57.341693494995894,1.5927965798249029,228.54941794995403,9.610989398597836,5.620492666759876
69.0,banked,10.0,4.0,1.0,4.0,7.0,357.94191712604874,357.94191712604874,200.97406555099744,200.97406555099744,0.0,3.0,86.91919024645027,145.3731708287524,-58.45398058230212,0.8659988713101245,193.7864832811778,5.842165782834043,2.5703586194669104
70.0,banked,10.0,4.0,2.0,4.0,7.0,456.7764442764829,456.7764442764829,202.65109179449925,69.92177448483898,132.72931730966027,3.0,102.20625076254125,161.70045196658867,-59.49420120404743,1.723921536387713,192.11704690743773,5.638402495299018,4.122990533324321
71.0,banked,10.0,4.0,3.0,4.0,9.0,463.1592324971262,463.1592324971262,210.46908767934138,93.26966074183478,117.1994269375066,2.0,136.76995937144716,192.86411656672223,-56.09415719527507,1.5966109056424886,199.96576992003185,7.8131459894781425,3.406888606028669
72.0,banked,10.0,4.0,4.0,4.0,10.0,422.04980400758984,422.04980400758984,181.89097076490395,136.67583660115915,45.21513416374481,6.0,50.16445438073325,105.41513053629019,-55.250676155556945,1.091433682473777,179.7602403777243,7.539882325752588,3.623934063487212
73.0,banked,10.0,4.0,5.0,4.0,7.0,402.8753586126081,402.8753586126081,230.8590591842395,67.77773076483635,163.08132841940315,4.0,83.6907989454808,135.29870550623383,-51.60790656075304,1.7382992834228417,200.9851539215267,5.6191780167255345,4.366824832597942
